시군구별,연료별,용도별,승    용,승    합,화    물,특    수,계
강화군,전기,비사업용,492,0,437,1,930
강화군,전기,사업용,1343,24,47,0,1414
옹진군,전기,비사업용,95,0,50,0,145
옹진군,전기,사업용,12,0,3,0,15
중구,전기,비사업용,1125,3,196,0,1324
중구,전기,사업용,85,20,103,0,208
동구,전기,비사업용,156,0,71,0,227
동구,전기,사업용,83,0,46,0,129
미추홀구,전기,비사업용,1114,0,319,0,1433
미추홀구,전기,사업용,497,0,228,0,725
연수구,전기,비사업용,3570,4,329,0,3903
연수구,전기,사업용,353,73,131,0,557
남동구,전기,비사업용,3171,0,615,0,3786
남동구,전기,사업용,1074,2,254,0,1330
부평구,전기,비사업용,2217,0,344,1,2562
부평구,전기,사업용,611,2,225,0,838
계양구,전기,비사업용,642,1,830,0,1473
계양구,전기,사업용,5644,0,179,0,5823
서구,전기,비사업용,3412,3,880,1,4296
서구,전기,사업용,532,69,346,0,947
