기준일,서울,인천,경기,강원,충북,충남,대전,세종,경북,대구,전북,전남,광주,경남,부산,울산,제주,합계
2022-01-31,41140,12942,40239,8042,8184,10015,7675,1879,11269,16169,7389,8837,5204,12725,12501,3180,25580,232970
2022-02-28,41693,13179,41266,8179,8664,10525,7902,1902,11540,17091,7456,9203,5652,13536,13805,3405,26184,241182
2022-03-31,43206,14134,45891,8652,9683,11532,8595,2069,12318,17584,8404,9978,6015,14371,15330,3789,26702,258253
2022-04-30,45133,15191,50111,9117,10421,12142,9550,2180,13018,18076,8931,10658,6233,14957,16059,3948,26931,272656
2022-05-31,46723,16859,53239,9666,11209,12712,10213,2307,13839,18808,9310,11102,6462,15821,16630,4134,27224,286258
2022-06-30,48362,18329,56232,10159,11675,13298,10468,2394,14478,19705,9723,11549,6766,16486,17206,4181,27622,298633
2022-07-31,49590,19567,59744,10857,12603,14051,11267,2480,15663,20613,10246,12580,7152,17215,17776,4156,28241,313801
2022-08-31,51240,20858,63314,11538,13210,14438,11920,2555,16429,21239,11353,13050,7397,18245,18507,4184,28790,328267
2022-09-30,53798,22375,67941,12171,13704,15449,12525,2677,17057,22329,12162,13802,7887,19453,19858,4651,29556,347395
2022-10-31,55335,24222,72328,12845,14365,15987,13385,2825,17859,23407,12448,14437,8451,20983,21054,4943,30696,365570
2022-11-30,57351,25835,75811,13618,14933,16467,14163,2962,18864,24131,12622,14981,8733,22081,21916,5030,32227,381725
2022-12-31,59327,26242,77648,14012,15140,16611,14476,3034,19154,24161,12727,15387,9096,22740,22063,5061,32976,389855
2023-01-31,59624,26342,77673,14065,15156,16617,14450,3081,19150,24100,12740,15449,9118,22749,22114,5071,32904,390403
2023-02-28,59584,26479,79880,14427,15727,16990,14600,3153,19808,25019,13022,16505,9542,23739,23481,5682,33573,401211
2023-03-31,61123,27840,84533,14823,16765,18832,14972,3343,21278,25535,15070,18041,9761,25495,24676,5864,34432,422383
